customer_id,customer_segment,age_group,region,acquisition_channel,customer_lifetime_value
CUST-00148,Value Seekers,51-65,North,Organic Search,892.95
CUST-00149,Budget Shoppers,26-35,West,Referral,433.78
CUST-00150,Premium / High-End,18-25,North,Direct,1859.61
CUST-00151,Budget Shoppers,26-35,East,Email Marketing,234.35
CUST-00152,Value Seekers,26-35,East,Referral,790.55
CUST-00153,Budget Shoppers,36-50,North,Organic Search,705.31
CUST-00154,Value Seekers,26-35,South,Paid Social,1408.42
CUST-00155,Premium / High-End,36-50,South,Organic Search,1076.11
CUST-00156,Budget Shoppers,26-35,North,Organic Search,310.89
CUST-00157,Value Seekers,26-35,East,Organic Search,639.42
CUST-00158,Value Seekers,65+,East,Paid Social,2035.93
CUST-00159,Budget Shoppers,26-35,North,Organic Search,306.17
CUST-00160,Budget Shoppers,26-35,North,Organic Search,535.24
CUST-00161,Corporate / Bulk,36-50,East,Organic Search,13863.89
CUST-00162,Premium / High-End,51-65,South,Paid Social,5409.96
CUST-00163,Value Seekers,26-35,South,Organic Search,1417.17
CUST-00164,Corporate / Bulk,51-65,South,Paid Social,8179.57
CUST-00165,Budget Shoppers,18-25,East,Organic Search,614.26
CUST-00166,Value Seekers,65+,South,Organic Search,813.25
CUST-00167,Premium / High-End,36-50,East,Organic Search,4134.81
CUST-00168,Value Seekers,26-35,South,Referral,677.42
CUST-00169,Corporate / Bulk,36-50,South,Email Marketing,7635.29
CUST-00170,Premium / High-End,26-35,West,Organic Search,1278.12
CUST-00171,Value Seekers,18-25,North,Organic Search,309.46
CUST-00172,Budget Shoppers,36-50,South,Organic Search,341.1
CUST-00173,Budget Shoppers,36-50,East,Paid Social,365.91
CUST-00174,Value Seekers,36-50,West,Email Marketing,558.39
CUST-00175,Value Seekers,26-35,West,Paid Social,1454.74
CUST-00176,Value Seekers,51-65,West,Organic Search,993.85
CUST-00177,Budget Shoppers,36-50,South,Paid Social,222.71
CUST-00178,Budget Shoppers,36-50,North,Email Marketing,444.95
CUST-00179,Corporate / Bulk,26-35,East,Organic Search,3253.47
CUST-00180,Budget Shoppers,26-35,South,Organic Search,66.74
CUST-00181,Budget Shoppers,51-65,West,Paid Social,442.35
CUST-00182,Corporate / Bulk,36-50,West,Organic Search,5935.61
CUST-00183,Budget Shoppers,26-35,East,Email Marketing,621.44
CUST-00184,Corporate / Bulk,36-50,North,Email Marketing,3662.06
CUST-00185,Value Seekers,26-35,North,Paid Social,1040.15
CUST-00186,Value Seekers,26-35,West,Email Marketing,765.72
CUST-00187,Budget Shoppers,36-50,West,Paid Social,286.92
CUST-00188,Value Seekers,26-35,South,Direct,1202.53
CUST-00189,Value Seekers,65+,East,Email Marketing,730.44
CUST-00190,Value Seekers,26-35,South,Paid Social,227.84
CUST-00191,Premium / High-End,36-50,East,Organic Search,1789.06
CUST-00192,Value Seekers,26-35,West,Email Marketing,876.22
CUST-00193,Budget Shoppers,36-50,West,Organic Search,108.31
CUST-00194,Budget Shoppers,26-35,East,Organic Search,493.01
CUST-00195,Corporate / Bulk,26-35,West,Organic Search,10822.79
CUST-00196,Premium / High-End,36-50,South,Paid Social,1351.96
CUST-00197,Budget Shoppers,65+,West,Organic Search,96.52
CUST-00198,Value Seekers,51-65,South,Paid Social,2099.49
CUST-00199,Premium / High-End,26-35,West,Referral,1507.68
CUST-00200,Value Seekers,26-35,West,Referral,361.84
CUST-00201,Budget Shoppers,36-50,South,Direct,437.1
CUST-00202,Value Seekers,26-35,North,Paid Social,678.22
CUST-00203,Value Seekers,26-35,East,Paid Social,1264.07
CUST-00204,Budget Shoppers,36-50,East,Organic Search,253.68
CUST-00205,Premium / High-End,36-50,North,Email Marketing,3052.45
CUST-00206,Premium / High-End,36-50,South,Referral,2614.35
CUST-00207,Corporate / Bulk,18-25,South,Paid Social,5103.9
CUST-00208,Value Seekers,51-65,West,Paid Social,815.66
CUST-00209,Value Seekers,36-50,South,Paid Social,978.13
CUST-00210,Value Seekers,26-35,North,Direct,498.8
CUST-00211,Budget Shoppers,36-50,East,Referral,616.43
CUST-00212,Premium / High-End,26-35,West,Organic Search,4265.9
CUST-00213,Premium / High-End,51-65,East,Organic Search,938.64
CUST-00214,Budget Shoppers,51-65,East,Direct,223.58
CUST-00215,Premium / High-End,18-25,South,Email Marketing,1400.81
CUST-00216,Premium / High-End,36-50,South,Direct,1174.19
CUST-00217,Budget Shoppers,26-35,West,Paid Social,304.07
CUST-00218,Budget Shoppers,36-50,East,Referral,277.64
CUST-00219,Budget Shoppers,51-65,North,Email Marketing,348.41
CUST-00220,Budget Shoppers,18-25,West,Paid Social,431.56
CUST-00221,Budget Shoppers,18-25,North,Referral,215.9
CUST-00222,Corporate / Bulk,18-25,East,Paid Social,7904.31
CUST-00223,Budget Shoppers,36-50,East,Paid Social,710.68
CUST-00224,Budget Shoppers,26-35,West,Paid Social,333.31
CUST-00225,Value Seekers,36-50,North,Paid Social,385.25
CUST-00226,Corporate / Bulk,65+,South,Email Marketing,6977.72
CUST-00227,Budget Shoppers,36-50,East,Email Marketing,355.84
CUST-00228,Budget Shoppers,26-35,East,Direct,531.83
CUST-00229,Budget Shoppers,36-50,West,Paid Social,672.1
CUST-00230,Value Seekers,36-50,East,Email Marketing,689.87
CUST-00231,Value Seekers,36-50,West,Direct,939.18
CUST-00232,Value Seekers,26-35,South,Paid Social,1881.14
CUST-00233,Premium / High-End,26-35,North,Email Marketing,3268.79
CUST-00234,Budget Shoppers,26-35,North,Direct,247.24
CUST-00235,Value Seekers,51-65,West,Organic Search,436.78
CUST-00236,Premium / High-End,36-50,South,Email Marketing,1775.05
CUST-00237,Budget Shoppers,65+,North,Organic Search,653.86
CUST-00238,Corporate / Bulk,36-50,West,Direct,5741.18
CUST-00239,Corporate / Bulk,26-35,West,Referral,8019.71
CUST-00240,Budget Shoppers,26-35,East,Email Marketing,315.28
CUST-00241,Value Seekers,51-65,East,Direct,1232.2
CUST-00242,Budget Shoppers,18-25,North,Referral,204.72
CUST-00243,Value Seekers,26-35,West,Organic Search,1124.47
CUST-00244,Premium / High-End,26-35,West,Paid Social,2013.22
CUST-00245,Budget Shoppers,26-35,West,Paid Social,242.02
CUST-00246,Budget Shoppers,18-25,West,Paid Social,583.47
CUST-00247,Value Seekers,51-65,East,Paid Social,439.22
CUST-00248,Premium / High-End,26-35,North,Organic Search,1940.12
CUST-00249,Value Seekers,65+,South,Organic Search,475.67
CUST-00250,Value Seekers,65+,South,Referral,119.71
CUST-00251,Budget Shoppers,26-35,East,Direct,671.71
CUST-00252,Value Seekers,26-35,South,Organic Search,2110.37
CUST-00253,Premium / High-End,36-50,South,Email Marketing,1060.41
CUST-00254,Value Seekers,36-50,North,Organic Search,347.43
CUST-00255,Budget Shoppers,18-25,East,Email Marketing,110.93
CUST-00256,Budget Shoppers,51-65,North,Paid Social,343.07
CUST-00257,Budget Shoppers,18-25,West,Referral,324.19
CUST-00258,Budget Shoppers,26-35,North,Organic Search,430.4
CUST-00259,Value Seekers,18-25,North,Referral,197.33
CUST-00260,Budget Shoppers,18-25,South,Organic Search,335.3
CUST-00261,Premium / High-End,36-50,East,Paid Social,2391.67
CUST-00262,Premium / High-End,18-25,East,Paid Social,750.42
CUST-00263,Corporate / Bulk,36-50,North,Referral,3928.45
CUST-00264,Value Seekers,65+,South,Organic Search,1546.95
CUST-00265,Value Seekers,36-50,,Paid Social,1490.35
CUST-00266,Corporate / Bulk,18-25,North,Email Marketing,11271.76
CUST-00267,Budget Shoppers,36-50,North,Paid Social,678.81
CUST-00268,Budget Shoppers,26-35,West,Paid Social,217.38
CUST-00269,Value Seekers,36-50,North,Referral,770.01
CUST-00270,Value Seekers,36-50,East,Organic Search,1137.33
CUST-00271,Value Seekers,26-35,North,Paid Social,401.0
CUST-00272,Value Seekers,26-35,North,Email Marketing,518.23
CUST-00273,Value Seekers,51-65,North,Organic Search,2033.84
CUST-00274,Premium / High-End,18-25,North,Email Marketing,1998.68
CUST-00275,Premium / High-End,36-50,East,Paid Social,1741.82
CUST-00276,Budget Shoppers,26-35,North,Email Marketing,252.9
CUST-00277,Premium / High-End,36-50,West,Direct,3739.5
CUST-00278,Value Seekers,36-50,South,Organic Search,1046.72
CUST-00279,Value Seekers,18-25,North,Referral,1083.44
CUST-00280,Value Seekers,36-50,East,Referral,990.58
CUST-00281,Premium / High-End,36-50,West,Email Marketing,2886.68
CUST-00282,Value Seekers,51-65,North,Referral,1167.97
CUST-00283,Budget Shoppers,36-50,,Organic Search,289.1
CUST-00284,Budget Shoppers,51-65,North,Paid Social,73.88
CUST-00285,Value Seekers,36-50,North,Organic Search,526.13
CUST-00286,Premium / High-End,26-35,North,Paid Social,3719.86
CUST-00287,Value Seekers,36-50,East,Paid Social,898.25
CUST-00288,Budget Shoppers,18-25,North,Email Marketing,429.62
CUST-00289,Value Seekers,36-50,North,Paid Social,507.44
CUST-00290,Value Seekers,36-50,North,Organic Search,1206.57
CUST-00291,Value Seekers,36-50,South,Paid Social,922.41
CUST-00292,Value Seekers,26-35,North,Paid Social,153.72
CUST-00293,Budget Shoppers,26-35,South,Organic Search,628.49
CUST-00294,Budget Shoppers,18-25,South,Email Marketing,618.63
CUST-00295,Budget Shoppers,36-50,South,Paid Social,135.44
CUST-00296,Premium / High-End,18-25,West,Referral,1220.87
CUST-00297,Budget Shoppers,51-65,North,Referral,173.78
CUST-00298,Value Seekers,36-50,East,Paid Social,824.03
CUST-00299,Budget Shoppers,26-35,North,Referral,162.02
CUST-00300,Value Seekers,51-65,West,Organic Search,1147.12
CUST-00301,Premium / High-End,36-50,North,Paid Social,3994.42
CUST-00302,Value Seekers,26-35,South,Paid Social,881.92
CUST-00303,Budget Shoppers,18-25,East,Paid Social,183.56
CUST-00304,Corporate / Bulk,36-50,South,Referral,11157.46
CUST-00305,Premium / High-End,18-25,North,Organic Search,3414.78
CUST-00306,Value Seekers,36-50,East,Organic Search,1298.18
CUST-00307,Premium / High-End,36-50,South,Email Marketing,1920.63
CUST-00308,Value Seekers,36-50,West,Email Marketing,1640.43
CUST-00309,Value Seekers,36-50,West,Organic Search,1080.88
CUST-00310,Budget Shoppers,26-35,South,Organic Search,358.63
CUST-00311,Budget Shoppers,26-35,East,Paid Social,819.79
CUST-00312,Budget Shoppers,18-25,West,Referral,262.49
CUST-00313,Premium / High-End,26-35,East,Paid Social,4873.91
CUST-00314,Value Seekers,51-65,West,Paid Social,732.71
CUST-00315,Premium / High-End,26-35,East,Paid Social,708.04
CUST-00316,Budget Shoppers,18-25,North,Referral,322.81
CUST-00317,Budget Shoppers,26-35,East,Organic Search,884.57
CUST-00318,Budget Shoppers,26-35,South,Paid Social,284.35
CUST-00319,Budget Shoppers,26-35,South,Paid Social,527.16
CUST-00320,Budget Shoppers,36-50,East,Email Marketing,628.39
CUST-00321,Budget Shoppers,36-50,North,Organic Search,393.08
CUST-00322,Premium / High-End,51-65,East,Referral,2832.08
CUST-00323,Budget Shoppers,18-25,East,Paid Social,86.96
CUST-00324,Corporate / Bulk,26-35,East,Paid Social,4742.59
CUST-00325,Corporate / Bulk,26-35,South,Referral,3346.64
CUST-00326,Premium / High-End,51-65,East,Email Marketing,2746.74
CUST-00327,Value Seekers,36-50,East,Paid Social,1823.89
CUST-00328,Value Seekers,26-35,South,Organic Search,426.3
CUST-00329,Corporate / Bulk,26-35,South,Organic Search,9525.34
CUST-00330,Budget Shoppers,18-25,West,Email Marketing,105.2
CUST-00331,Premium / High-End,18-25,West,Paid Social,625.21
CUST-00332,Premium / High-End,26-35,North,Organic Search,3308.08
CUST-00333,Premium / High-End,36-50,East,Organic Search,1761.09
CUST-00334,Value Seekers,36-50,South,Organic Search,360.48
CUST-00335,Value Seekers,36-50,South,Paid Social,280.0
CUST-00336,Value Seekers,36-50,South,Paid Social,1583.67
CUST-00337,Premium / High-End,51-65,South,Direct,1883.89
CUST-00338,Value Seekers,26-35,South,Paid Social,475.04
CUST-00339,Corporate / Bulk,36-50,West,Organic Search,6053.14
CUST-00340,Budget Shoppers,51-65,East,Paid Social,126.92
CUST-00341,Budget Shoppers,51-65,West,Organic Search,146.58
CUST-00342,Premium / High-End,51-65,North,Organic Search,935.54
CUST-00343,Value Seekers,26-35,West,Paid Social,673.96
CUST-00344,Budget Shoppers,18-25,North,Paid Social,294.92
CUST-00345,Budget Shoppers,26-35,West,Organic Search,231.21
CUST-00346,Corporate / Bulk,36-50,West,Referral,7507.06
CUST-00347,Budget Shoppers,51-65,South,Email Marketing,428.24
CUST-00348,Budget Shoppers,26-35,East,Organic Search,192.52
CUST-00349,Budget Shoppers,51-65,North,Paid Social,383.3
CUST-00350,Premium / High-End,18-25,East,Organic Search,1609.79
CUST-00351,Budget Shoppers,26-35,North,Referral,325.0
CUST-00352,Value Seekers,51-65,North,Paid Social,694.46
CUST-00353,Budget Shoppers,26-35,East,Organic Search,259.37
CUST-00354,Value Seekers,26-35,East,Paid Social,1059.87
CUST-00355,Value Seekers,65+,North,Organic Search,498.53
CUST-00356,Value Seekers,65+,East,Paid Social,1090.27
CUST-00357,Value Seekers,36-50,South,Direct,688.63
CUST-00358,Budget Shoppers,36-50,North,Paid Social,200.12
CUST-00359,Premium / High-End,36-50,East,Email Marketing,3257.6
CUST-00360,Budget Shoppers,26-35,North,Referral,844.48
CUST-00361,Budget Shoppers,26-35,East,Email Marketing,337.09
CUST-00362,Value Seekers,18-25,West,Email Marketing,686.89
CUST-00363,Value Seekers,18-25,South,Organic Search,930.76
CUST-00364,Budget Shoppers,26-35,West,Direct,624.64
CUST-00365,Value Seekers,36-50,North,Organic Search,788.76
CUST-00366,Value Seekers,51-65,East,Paid Social,577.13
CUST-00367,Budget Shoppers,51-65,South,Email Marketing,457.45
CUST-00368,Premium / High-End,65+,South,Paid Social,1176.83
CUST-00369,Value Seekers,26-35,West,Referral,1015.05
CUST-00370,Premium / High-End,36-50,North,Referral,2854.12
CUST-00371,Value Seekers,18-25,South,Email Marketing,1755.63
CUST-00372,Budget Shoppers,26-35,East,Email Marketing,404.48
CUST-00373,Value Seekers,51-65,North,Paid Social,481.5
CUST-00374,Corporate / Bulk,65+,North,Direct,8652.67
CUST-00375,Budget Shoppers,26-35,East,Referral,167.82
CUST-00376,Value Seekers,18-25,West,Email Marketing,452.02
CUST-00377,Premium / High-End,18-25,North,Email Marketing,1819.85
CUST-00378,Value Seekers,36-50,South,Email Marketing,1169.32
CUST-00379,Value Seekers,26-35,West,Email Marketing,955.64
CUST-00380,Value Seekers,26-35,East,Email Marketing,980.84
CUST-00381,Budget Shoppers,36-50,North,Paid Social,571.59
CUST-00382,Value Seekers,26-35,East,Organic Search,971.67
CUST-00383,Value Seekers,26-35,West,Direct,611.82
CUST-00384,Value Seekers,51-65,North,Paid Social,619.01
CUST-00385,Premium / High-End,18-25,South,Email Marketing,4002.09
CUST-00386,Premium / High-End,26-35,South,Organic Search,2343.44
CUST-00387,Value Seekers,51-65,West,Email Marketing,1667.35
CUST-00388,Corporate / Bulk,36-50,East,Paid Social,4751.47
CUST-00389,Budget Shoppers,18-25,North,Referral,372.22
CUST-00390,Budget Shoppers,26-35,East,Referral,281.33
CUST-00391,Value Seekers,18-25,East,Organic Search,709.15
CUST-00392,Corporate / Bulk,26-35,East,Email Marketing,3728.87
CUST-00393,Premium / High-End,65+,North,Email Marketing,2069.59
CUST-00394,Value Seekers,26-35,East,Referral,940.28
CUST-00395,Premium / High-End,26-35,East,Direct,1988.52
CUST-00396,Value Seekers,18-25,West,Organic Search,1200.55
CUST-00397,Budget Shoppers,26-35,North,Email Marketing,515.83
CUST-00398,Budget Shoppers,51-65,West,Referral,253.42
CUST-00399,Budget Shoppers,26-35,East,Organic Search,756.07
CUST-00400,Budget Shoppers,26-35,East,Organic Search,149.54
CUST-00401,Corporate / Bulk,36-50,North,Email Marketing,5392.63
CUST-00402,Value Seekers,36-50,West,Referral,991.33
CUST-00403,Budget Shoppers,36-50,North,Paid Social,626.3
CUST-00404,Value Seekers,26-35,East,Email Marketing,183.43
CUST-00405,Value Seekers,26-35,East,Direct,604.66
CUST-00406,Value Seekers,36-50,West,Organic Search,3848.67
CUST-00407,Budget Shoppers,26-35,North,Paid Social,311.16
CUST-00408,Budget Shoppers,26-35,East,Email Marketing,245.18
CUST-00409,Premium / High-End,65+,West,Organic Search,2196.78
CUST-00410,Value Seekers,26-35,East,Paid Social,779.93
CUST-00411,Budget Shoppers,18-25,North,Organic Search,522.32
CUST-00412,Value Seekers,26-35,East,Referral,1599.69
CUST-00413,Budget Shoppers,36-50,South,Organic Search,557.71
CUST-00414,Premium / High-End,26-35,South,Paid Social,2183.93
CUST-00415,Budget Shoppers,51-65,North,Paid Social,619.28
CUST-00416,Corporate / Bulk,26-35,North,Organic Search,4206.37
CUST-00417,Value Seekers,36-50,West,Paid Social,589.46
CUST-00418,Value Seekers,26-35,West,Referral,852.04
CUST-00419,Premium / High-End,26-35,East,Paid Social,1982.96
CUST-00420,Value Seekers,26-35,North,Organic Search,1087.84
CUST-00421,Value Seekers,26-35,East,Direct,743.01
CUST-00422,Value Seekers,65+,North,Paid Social,1891.83
CUST-00423,Premium / High-End,51-65,South,Email Marketing,1582.23
CUST-00424,Budget Shoppers,26-35,East,Organic Search,105.06
CUST-00425,Budget Shoppers,26-35,South,Paid Social,75.65
CUST-00426,Value Seekers,26-35,East,Email Marketing,559.93
CUST-00427,Budget Shoppers,36-50,West,Organic Search,165.99
CUST-00428,Budget Shoppers,26-35,West,Email Marketing,605.11
CUST-00429,Budget Shoppers,26-35,West,Email Marketing,794.59
CUST-00430,Corporate / Bulk,36-50,East,Email Marketing,7760.64
CUST-00431,Value Seekers,26-35,North,Direct,1135.09
CUST-00432,Premium / High-End,36-50,East,Email Marketing,3496.59
CUST-00433,Value Seekers,36-50,North,Email Marketing,944.43
CUST-00434,Premium / High-End,36-50,North,Organic Search,3284.17
CUST-00435,Corporate / Bulk,18-25,North,Organic Search,10339.67
CUST-00436,Budget Shoppers,26-35,East,Email Marketing,127.6
CUST-00437,Corporate / Bulk,36-50,West,Organic Search,12709.63
CUST-00438,Budget Shoppers,26-35,North,Email Marketing,426.23
CUST-00439,Value Seekers,18-25,South,Direct,790.94
CUST-00440,Budget Shoppers,36-50,South,Email Marketing,422.04
CUST-00441,Value Seekers,36-50,East,Organic Search,542.31
CUST-00442,Budget Shoppers,26-35,East,Direct,21.51
CUST-00443,Budget Shoppers,26-35,South,Email Marketing,215.26
CUST-00444,Budget Shoppers,51-65,South,Referral,301.44
CUST-00445,Budget Shoppers,36-50,North,Paid Social,161.04
