transaction_id,date,product_id,customer_id,region,quantity,unit_price,discount,revenue,cost,profit,competitor_price,inventory_level
TXN-0000108,2024-01-02,PRD-A03,CUST-01976,South,1,44.99,0.0,44.99,14.0,30.99,47.99,6983
TXN-0000109,2024-01-02,PRD-A03,CUST-01676,North,1,44.99,0.05,42.74,14.0,28.74,47.99,6982
TXN-0000110,2024-01-02,PRD-A03,CUST-03173,North,1,44.99,0.0,44.99,14.0,30.99,47.99,6981
TXN-0000111,2024-01-02,PRD-A03,CUST-03353,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6980
TXN-0000112,2024-01-02,PRD-A03,CUST-02286,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6979
TXN-0000113,2024-01-02,PRD-A03,CUST-02649,South,1,44.99,0.15,38.24,14.0,24.24,47.99,6978
TXN-0000114,2024-01-02,PRD-A03,CUST-01270,North,2,44.99,0.0,89.98,28.0,61.98,47.99,6976
TXN-0000115,2024-01-02,PRD-A03,CUST-02739,North,1,44.99,0.0,44.99,14.0,30.99,47.99,6975
TXN-0000116,2024-01-02,PRD-A03,CUST-03024,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6974
TXN-0000117,2024-01-02,PRD-A03,CUST-02791,South,1,44.99,0.0,44.99,14.0,30.99,47.99,6973
TXN-0000118,2024-01-02,PRD-A03,CUST-03171,South,1,44.99,0.0,44.99,14.0,30.99,47.99,6972
TXN-0000119,2024-01-02,PRD-A03,CUST-00727,East,1,44.99,0.05,42.74,14.0,28.74,47.99,6971
TXN-0000120,2024-01-02,PRD-A03,CUST-02248,East,3,44.99,0.0,134.97,42.0,92.97,47.99,6968
TXN-0000121,2024-01-02,PRD-A04,CUST-02505,South,2,94.99,0.2,151.98,76.0,75.98,98.0,3395
TXN-0000122,2024-01-02,PRD-A04,CUST-00899,East,1,94.99,0.0,94.99,38.0,56.99,98.0,3394
TXN-0000123,2024-01-02,PRD-A04,CUST-01814,South,1,94.99,0.0,94.99,38.0,56.99,98.0,3393
TXN-0000124,2024-01-02,PRD-H02,CUST-00557,North,1,159.99,0.0,159.99,75.0,84.99,149.99,2797
TXN-0000125,2024-01-02,PRD-H02,CUST-02023,West,1,159.99,0.1,143.99,75.0,68.99,149.99,2796
TXN-0000126,2024-01-02,PRD-H02,CUST-00309,West,2,159.99,0.0,319.98,150.0,169.98,149.99,2794
TXN-0000127,2024-01-02,PRD-H02,CUST-01673,East,1,159.99,0.0,159.99,75.0,84.99,149.99,2793
TXN-0000128,2024-01-02,PRD-H02,CUST-01153,North,1,159.99,0.1,143.99,75.0,68.99,149.99,2792
TXN-0000129,2024-01-02,PRD-H02,CUST-02617,South,1,159.99,0.0,159.99,75.0,84.99,149.99,2791
TXN-0000130,2024-01-02,PRD-H02,CUST-01185,West,1,159.99,0.0,159.99,75.0,84.99,149.99,2790
TXN-0000131,2024-01-02,PRD-H03,CUST-02766,East,2,299.99,0.0,599.98,320.0,279.98,284.99,1596
TXN-0000132,2024-01-02,PRD-H04,CUST-02896,East,1,129.99,0.2,103.99,55.0,48.99,124.99,3196
TXN-0000133,2024-01-02,PRD-H04,CUST-02195,West,1,129.99,0.0,129.99,55.0,74.99,124.99,3195
TXN-0000134,2024-01-02,PRD-B01,CUST-00917,East,2,38.0,0.0,76.0,17.0,59.0,42.0,9489
TXN-0000135,2024-01-02,PRD-B01,CUST-02991,East,2,38.0,0.0,76.0,17.0,59.0,42.0,9487
TXN-0000136,2024-01-02,PRD-B01,CUST-02487,East,1,38.0,0.0,38.0,8.5,29.5,42.0,9486
TXN-0000137,2024-01-02,PRD-B01,CUST-03451,West,1,38.0,0.0,38.0,8.5,29.5,42.0,9485
TXN-0000138,2024-01-02,PRD-B01,CUST-00164,South,4,38.0,,152.0,34.0,118.0,42.0,9481
TXN-0000139,2024-01-02,PRD-B01,CUST-00639,North,1,38.0,0.0,38.0,8.5,29.5,42.0,9480
TXN-0000140,2024-01-02,PRD-B01,CUST-03402,East,1,38.0,0.05,36.1,8.5,27.6,42.0,9479
TXN-0000141,2024-01-02,PRD-B01,CUST-00570,East,1,38.0,0.0,38.0,8.5,29.5,42.0,9478
TXN-0000142,2024-01-02,PRD-B01,CUST-02195,West,2,38.0,0.0,76.0,17.0,59.0,42.0,9476
TXN-0000143,2024-01-02,PRD-B02,CUST-02138,East,1,54.0,0.0,54.0,12.0,42.0,58.0,7995
TXN-0000144,2024-01-02,PRD-B02,CUST-03191,North,2,54.0,0.0,108.0,24.0,84.0,58.0,7993
TXN-0000145,2024-01-02,PRD-B02,CUST-00696,North,10,54.0,0.0,540.0,120.0,420.0,58.0,7983
TXN-0000146,2024-01-02,PRD-B02,CUST-00908,North,2,54.0,0.0,108.0,24.0,84.0,58.0,7981
TXN-0000147,2024-01-02,PRD-B02,CUST-03165,East,2,54.0,0.0,108.0,24.0,84.0,58.0,7979
TXN-0000148,2024-01-02,PRD-B02,CUST-02677,North,1,54.0,0.0,54.0,12.0,42.0,58.0,7978
TXN-0000149,2024-01-02,PRD-B02,CUST-03050,North,1,54.0,0.0,54.0,12.0,42.0,58.0,7977
TXN-0000150,2024-01-02,PRD-B03,CUST-01538,West,1,39.99,,39.99,16.5,23.49,37.99,5477
TXN-0000151,2024-01-02,PRD-B03,CUST-00154,South,1,39.99,0.05,37.99,16.5,21.49,37.99,5476
TXN-0000152,2024-01-02,PRD-B03,CUST-02251,West,1,39.99,0.0,39.99,16.5,23.49,37.99,5475
TXN-0000153,2024-01-02,PRD-B03,CUST-00217,West,1,39.99,0.0,39.99,16.5,23.49,37.99,5474
TXN-0000154,2024-01-02,PRD-B03,CUST-02530,South,1,39.99,0.05,37.99,16.5,21.49,37.99,5473
TXN-0000155,2024-01-02,PRD-B03,CUST-03387,West,1,39.99,0.05,37.99,16.5,21.49,37.99,5472
TXN-0000156,2024-01-02,PRD-B03,CUST-01025,North,1,39.99,0.0,39.99,16.5,23.49,37.99,5471
TXN-0000157,2024-01-02,PRD-B03,CUST-02814,West,1,39.99,0.0,39.99,16.5,23.49,37.99,5470
TXN-0000158,2024-01-02,PRD-B03,CUST-02551,North,1,39.99,0.0,39.99,16.5,23.49,37.99,5469
TXN-0000159,2024-01-02,PRD-B04,CUST-02732,South,1,89.99,0.0,89.99,34.0,55.99,84.99,3095
TXN-0000160,2024-01-02,PRD-S01,CUST-01054,North,1,199.99,0.0,199.99,88.0,111.99,189.99,2492
TXN-0000161,2024-01-02,PRD-S01,CUST-02842,South,1,199.99,0.0,199.99,88.0,111.99,189.99,2491
TXN-0000162,2024-01-02,PRD-S01,CUST-00161,East,2,199.99,0.0,399.98,176.0,223.98,189.99,2489
TXN-0000163,2024-01-02,PRD-S01,CUST-01330,South,1,199.99,0.0,199.99,88.0,111.99,189.99,2488
TXN-0000164,2024-01-02,PRD-S01,CUST-01647,West,1,199.99,0.0,199.99,88.0,111.99,189.99,2487
TXN-0000165,2024-01-02,PRD-S01,CUST-02244,East,1,199.99,0.0,199.99,88.0,111.99,189.99,2486
TXN-0000166,2024-01-02,PRD-S01,CUST-02656,West,1,199.99,0.0,199.99,88.0,111.99,189.99,2485
TXN-0000167,2024-01-02,PRD-S02,CUST-01272,South,1,29.99,0.0,29.99,8.5,21.49,32.99,7482
TXN-0000168,2024-01-02,PRD-S02,CUST-01288,South,2,29.99,0.0,59.98,17.0,42.98,32.99,7480
TXN-0000169,2024-01-02,PRD-S02,CUST-02515,North,1,29.99,0.2,23.99,8.5,15.49,32.99,7479
TXN-0000170,2024-01-02,PRD-S02,CUST-00849,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7478
TXN-0000171,2024-01-02,PRD-S02,CUST-00361,East,1,29.99,0.1,26.99,8.5,18.49,32.99,7477
TXN-0000172,2024-01-02,PRD-S02,CUST-02036,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7476
TXN-0000173,2024-01-02,PRD-S02,CUST-01975,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7475
TXN-0000174,2024-01-02,PRD-S02,CUST-02928,West,1,29.99,0.0,29.99,8.5,21.49,32.99,7474
TXN-0000175,2024-01-02,PRD-S02,CUST-03465,South,2,29.99,0.0,59.98,17.0,42.98,32.99,7472
TXN-0000176,2024-01-02,PRD-S02,CUST-02227,North,2,29.99,0.0,59.98,17.0,42.98,32.99,7470
TXN-0000177,2024-01-02,PRD-S03,CUST-02293,South,1,149.99,0.0,149.99,65.0,84.99,139.99,2099
TXN-0000178,2024-01-02,PRD-S03,CUST-01663,West,1,149.99,0.0,149.99,65.0,84.99,139.99,2098
TXN-0000179,2024-01-02,PRD-S04,CUST-01484,West,3,49.99,0.0,149.97,57.0,92.97,47.99,4595
TXN-0000180,2024-01-02,PRD-S04,CUST-00593,West,1,49.99,0.2,39.99,19.0,20.99,47.99,4594
TXN-0000181,2024-01-02,PRD-S04,CUST-01019,North,2,49.99,0.0,99.98,38.0,61.98,47.99,4592
TXN-0000182,01/02/2024,PRD-S04,CUST-00398,West,1,49.99,0.0,49.99,19.0,30.99,47.99,4591
TXN-0000183,2024-01-03,PRD-E01,CUST-02748,West,1,149.99,0.0,149.99,85.0,64.99,144.99,4492
TXN-0000184,2024-01-03,PRD-E01,CUST-01482,South,1,149.99,0.15,127.49,85.0,42.49,144.99,4491
TXN-0000185,2024-01-03,PRD-E02,CUST-03103,West,1,199.99,0.1,179.99,110.0,69.99,194.99,3783
TXN-0000186,2024-01-03,PRD-E02,CUST-01534,North,1,199.99,0.0,199.99,110.0,89.99,194.99,3782
TXN-0000187,01/03/2024,PRD-E02,CUST-02042,East,1,199.99,0.0,199.99,110.0,89.99,194.99,3781
TXN-0000188,2024-01-03,PRD-E02,CUST-00130,North,1,199.99,0.0,199.99,110.0,89.99,194.99,3780
TXN-0000189,2024-01-03,PRD-E02,CUST-03457,West,3,199.99,0.0,599.97,330.0,269.97,194.99,3777
TXN-0000190,2024-01-03,PRD-E02,CUST-03097,East,1,199.99,0.0,199.99,110.0,89.99,194.99,3776
TXN-0000191,2024-01-03,PRD-E03,CUST-00913,West,1,249.99,0.1,224.99,140.0,84.99,239.0,2196
TXN-0000192,2024-01-03,PRD-E04,CUST-01037,East,1,59.99,0.0,59.99,26.0,33.99,54.99,5983
TXN-0000193,2024-01-03,PRD-E04,CUST-02901,East,1,59.99,0.0,59.99,26.0,33.99,54.99,5982
TXN-0000194,2024-01-03,PRD-A01,CUST-00393,North,1,64.99,0.0,64.99,22.0,42.99,62.0,5190
TXN-0000195,2024-01-03,PRD-A01,CUST-01137,West,2,64.99,0.0,129.98,44.0,85.98,62.0,5188
TXN-0000196,2024-01-03,PRD-A01,CUST-01308,North,1,64.99,0.0,64.99,22.0,42.99,62.0,5187
TXN-0000197,2024-01-03,PRD-A01,CUST-01814,South,1,64.99,0.0,64.99,22.0,42.99,62.0,5186
TXN-0000198,2024-01-03,PRD-A01,CUST-02251,West,1,64.99,0.2,51.99,22.0,29.99,62.0,5185
TXN-0000199,2024-01-03,PRD-A01,CUST-02901,East,1,64.99,0.0,64.99,22.0,42.99,62.0,5184
TXN-0000200,2024-01-03,PRD-A01,CUST-02822,South,1,64.99,,64.99,22.0,42.99,62.0,5183
TXN-0000201,2024-01-03,PRD-A01,CUST-03216,East,1,64.99,0.1,58.49,22.0,36.49,62.0,5182
TXN-0000202,2024-01-03,PRD-A01,CUST-03315,East,1,64.99,0.0,64.99,22.0,42.99,62.0,5181
TXN-0000203,2024-01-03,PRD-A01,CUST-02830,East,1,64.99,0.0,64.99,22.0,42.99,62.0,5180
TXN-0000204,2024-01-03,PRD-A02,CUST-00034,West,1,119.99,0.0,119.99,44.0,75.99,114.99,3996
TXN-0000205,2024-01-03,PRD-A02,CUST-02849,North,1,119.99,0.0,119.99,44.0,75.99,114.99,3995
TXN-0000206,2024-01-03,PRD-A03,CUST-00228,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6967
TXN-0000207,2024-01-03,PRD-A03,CUST-02608,North,2,44.99,0.0,89.98,28.0,61.98,47.99,6965
TXN-0000208,2024-01-03,PRD-A03,CUST-00518,West,1,44.99,0.0,44.99,14.0,30.99,47.99,6964
TXN-0000209,2024-01-03,PRD-A03,CUST-02603,South,1,44.99,0.1,40.49,14.0,26.49,47.99,6963
TXN-0000210,2024-01-03,PRD-A03,CUST-01169,North,1,44.99,0.0,44.99,14.0,30.99,47.99,6962
TXN-0000211,2024-01-03,PRD-A03,CUST-00127,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6961
TXN-0000212,2024-01-03,PRD-A03,CUST-00335,South,1,44.99,0.1,40.49,14.0,26.49,47.99,6960
TXN-0000213,2024-01-03,PRD-A03,CUST-00758,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6959
TXN-0000214,2024-01-03,PRD-A03,CUST-01432,South,1,44.99,0.0,44.99,14.0,30.99,47.99,6958
TXN-0000215,2024-01-03,PRD-A03,CUST-02169,South,1,44.99,0.0,44.99,14.0,30.99,47.99,6957
TXN-0000216,2024-01-03,PRD-A03,CUST-01768,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6956
TXN-0000217,2024-01-03,PRD-A04,CUST-03442,East,1,94.99,0.0,94.99,38.0,56.99,98.0,3392
TXN-0000218,2024-01-03,PRD-H01,CUST-01068,South,2,49.99,0.0,99.98,36.0,63.98,54.99,4790
TXN-0000219,2024-01-03,PRD-H01,CUST-03098,West,2,49.99,0.0,99.98,36.0,63.98,54.99,4788
TXN-0000220,2024-01-03,PRD-H01,CUST-02229,West,1,49.99,0.0,49.99,18.0,31.99,54.99,4787
TXN-0000221,2024-01-03,PRD-H01,CUST-02652,East,1,49.99,0.05,47.49,18.0,29.49,54.99,4786
TXN-0000222,2024-01-03,PRD-H02,CUST-03500,North,1,159.99,0.0,159.99,75.0,84.99,149.99,2789
TXN-0000223,2024-01-03,PRD-H02,CUST-01449,East,2,159.99,0.0,319.98,150.0,169.98,149.99,2787
TXN-0000224,2024-01-03,PRD-H02,CUST-00199,West,1,159.99,0.0,159.99,75.0,84.99,149.99,2786
TXN-0000225,2024-01-03,PRD-H03,CUST-02303,West,3,299.99,0.1,809.97,480.0,329.97,284.99,1593
TXN-0000226,2024-01-03,PRD-H03,CUST-01051,South,1,299.99,0.0,299.99,160.0,139.99,284.99,1592
TXN-0000227,2024-01-03,PRD-H04,CUST-02994,West,1,129.99,0.0,129.99,55.0,74.99,124.99,3194
TXN-0000228,2024-01-03,PRD-H04,CUST-01071,East,1,129.99,0.1,116.99,55.0,61.99,124.99,3193
TXN-0000229,2024-01-03,PRD-H04,CUST-02360,North,1,129.99,0.0,129.99,55.0,74.99,124.99,3192
TXN-0000230,2024-01-03,PRD-H04,CUST-00139,East,1,129.99,0.0,129.99,55.0,74.99,124.99,3191
TXN-0000231,2024-01-03,PRD-B01,CUST-01017,South,1,38.0,0.0,38.0,8.5,29.5,42.0,9475
