date,product_id,price,quantity_sold,competitor_price,revenue
2024-01-02,PRD-S03,149.99,2,139.99,299.98
2024-01-02,PRD-S04,49.99,7,47.99,339.93
2024-01-03,PRD-E01,149.99,2,144.99,277.48
2024-01-03,PRD-E02,199.99,8,194.99,1579.92
2024-01-03,PRD-E03,249.99,1,239.0,224.99
2024-01-03,PRD-E04,59.99,2,54.99,119.98
2024-01-03,PRD-A01,64.99,11,62.0,695.39
2024-01-03,PRD-A02,119.99,2,114.99,239.98
2024-01-03,PRD-A03,44.99,12,47.99,530.88
2024-01-03,PRD-A04,94.99,1,98.0,94.99
2024-01-03,PRD-H01,49.99,6,54.99,297.44
2024-01-03,PRD-H02,159.99,4,149.99,639.96
2024-01-03,PRD-H03,299.99,4,284.99,1109.96
2024-01-03,PRD-H04,129.99,4,124.99,506.96
2024-01-03,PRD-B01,38.0,10,42.0,380.0
2024-01-03,PRD-B02,54.0,4,58.0,216.0
2024-01-03,PRD-B03,39.99,11,37.99,425.89
2024-01-03,PRD-B04,89.99,2,84.99,179.98
2024-01-03,PRD-S01,199.99,11,189.99,2199.89
2024-01-03,PRD-S02,29.99,19,32.99,563.81
2024-01-03,PRD-S03,149.99,2,139.99,299.98
2024-01-03,PRD-S04,49.99,2,47.99,94.98
2024-01-04,PRD-E01,149.99,4,144.99,599.96
2024-01-04,PRD-E02,199.99,7,194.99,1299.93
2024-01-04,PRD-E03,249.99,4,239.0,999.96
2024-01-04,PRD-E04,59.99,6,54.99,353.94
2024-01-04,PRD-A01,64.99,13,62.0,825.37
2024-01-04,PRD-A02,119.99,8,114.99,845.92
2024-01-04,PRD-A03,44.99,7,47.99,308.18
2024-01-04,PRD-A04,94.99,6,98.0,569.94
2024-01-04,PRD-H01,49.99,19,54.99,922.31
2024-01-04,PRD-H02,159.99,7,149.99,1119.93
2024-01-04,PRD-H03,299.99,1,284.99,299.99
2024-01-04,PRD-H04,129.99,4,124.99,493.96
2024-01-04,PRD-B01,38.0,6,42.0,228.0
2024-01-04,PRD-B02,54.0,23,58.0,1217.7
2024-01-04,PRD-B03,39.99,12,37.99,477.88
2024-01-04,PRD-B04,89.99,4,84.99,350.96
2024-01-04,PRD-S01,199.99,8,189.99,1589.92
2024-01-04,PRD-S02,29.99,12,32.99,358.38
2024-01-04,PRD-S03,149.99,1,139.99,119.99
2024-01-04,PRD-S04,49.99,1,47.99,49.99
2024-01-05,PRD-E01,149.99,7,144.99,1019.93
2024-01-05,PRD-E02,199.99,6,194.99,1169.94
2024-01-05,PRD-E03,249.99,1,239.0,249.99
2024-01-05,PRD-E04,59.99,7,54.99,419.93
2024-01-05,PRD-A01,64.99,15,62.0,903.35
2024-01-05,PRD-A02,119.99,1,114.99,119.99
2024-01-05,PRD-A03,44.99,7,47.99,314.93
2024-01-05,PRD-A04,94.99,4,98.0,379.96
2024-01-05,PRD-H01,49.99,6,54.99,299.94
2024-01-05,PRD-H02,159.99,6,149.99,959.94
2024-01-05,PRD-H03,299.99,1,284.99,299.99
2024-01-05,PRD-H04,129.99,10,124.99,1267.4
2024-01-05,PRD-B01,38.0,8,42.0,286.9
2024-01-05,PRD-B02,54.0,11,58.0,580.5
2024-01-05,PRD-B03,39.99,16,37.99,627.84
2024-01-05,PRD-B04,89.99,1,84.99,89.99
2024-01-05,PRD-S01,199.99,7,189.99,1389.93
2024-01-05,PRD-S02,29.99,11,32.99,316.39
2024-01-05,PRD-S03,149.99,0,139.99,0.0
2024-01-05,PRD-S04,49.99,1,47.99,47.49
2024-01-06,PRD-E01,149.99,4,144.99,599.96
2024-01-06,PRD-E02,199.99,3,194.99,589.97
2024-01-06,PRD-E03,249.99,3,239.0,749.97
2024-01-06,PRD-E04,59.99,4,54.99,233.96
2024-01-06,PRD-A01,64.99,12,62.0,766.88
2024-01-06,PRD-A02,119.99,7,114.99,839.93
2024-01-06,PRD-A03,44.99,17,47.99,749.08
2024-01-06,PRD-A04,94.99,7,98.0,664.93
2024-01-06,PRD-H01,49.99,8,54.99,399.92
2024-01-06,PRD-H02,159.99,5,149.99,799.95
2024-01-06,PRD-H03,299.99,1,284.99,299.99
2024-01-06,PRD-H04,129.99,19,124.99,2469.81
2024-01-06,PRD-B01,38.0,11,42.0,418.0
2024-01-06,PRD-B02,54.0,11,58.0,575.1
2024-01-06,PRD-B03,39.99,14,37.99,555.86
2024-01-06,PRD-B04,89.99,6,84.99,530.94
2024-01-06,PRD-S01,199.99,5,189.99,979.95
2024-01-06,PRD-S02,29.99,13,32.99,374.87
2024-01-06,PRD-S03,149.99,1,139.99,149.99
2024-01-06,PRD-S04,49.99,5,47.99,244.95
2024-01-07,PRD-E01,149.99,5,144.99,727.45
2024-01-07,PRD-E02,199.99,11,194.99,2079.89
2024-01-07,PRD-E03,249.99,1,239.0,249.99
2024-01-07,PRD-E04,59.99,9,54.99,506.91
2024-01-07,PRD-A01,64.99,24,62.0,1559.76
2024-01-07,PRD-A02,119.99,9,114.99,1067.91
2024-01-07,PRD-A03,44.99,14,47.99,627.61
2024-01-07,PRD-A04,94.99,4,98.0,365.71
2024-01-07,PRD-H01,49.99,4,54.99,197.46
2024-01-07,PRD-H02,159.99,4,149.99,639.96
2024-01-07,PRD-H03,299.99,2,284.99,599.98
2024-01-07,PRD-H04,129.99,3,124.99,383.47
2024-01-07,PRD-B01,38.0,13,42.0,480.7
2024-01-07,PRD-B02,54.0,12,58.0,639.9
2024-01-07,PRD-B03,39.99,15,37.99,587.85
2024-01-07,PRD-B04,89.99,2,84.99,179.98
2024-01-07,PRD-S01,199.99,18,189.99,3559.82
2024-01-07,PRD-S02,29.99,35,32.99,1040.65
2024-01-07,PRD-S03,149.99,2,139.99,299.98
2024-01-07,PRD-S04,49.99,1,47.99,49.99
2024-01-08,PRD-E01,149.99,11,144.99,1627.39
2024-01-08,PRD-E02,199.99,4,194.99,799.96
2024-01-08,PRD-E03,249.99,1,239.0,249.99
2024-01-08,PRD-E04,59.99,5,54.99,299.95
2024-01-08,PRD-A01,64.99,4,62.0,256.71
2024-01-08,PRD-A02,119.99,4,114.99,479.96
2024-01-08,PRD-A03,44.99,6,47.99,267.69
2024-01-08,PRD-A04,94.99,2,98.0,151.98
2024-01-08,PRD-H01,49.99,2,54.99,99.98
2024-01-08,PRD-H02,159.99,6,149.99,959.94
2024-01-08,PRD-H03,299.99,0,284.99,0.0
2024-01-08,PRD-H04,129.99,4,124.99,519.96
2024-01-08,PRD-B01,38.0,8,42.0,296.4
2024-01-08,PRD-B02,54.0,14,58.0,745.2
2024-01-08,PRD-B03,39.99,14,37.99,543.86
2024-01-08,PRD-B04,89.99,3,84.99,269.97
2024-01-08,PRD-S01,199.99,14,189.99,2779.86
2024-01-08,PRD-S02,29.99,19,32.99,568.31
2024-01-08,PRD-S03,149.99,2,139.99,299.98
2024-01-08,PRD-S04,49.99,2,47.99,99.98
2024-01-09,PRD-E01,149.99,1,144.99,149.99
2024-01-09,PRD-E02,199.99,1,194.99,199.99
2024-01-09,PRD-E03,249.99,0,239.0,0.0
2024-01-09,PRD-E04,59.99,7,54.99,419.93
2024-01-09,PRD-A01,64.99,8,62.0,519.92
2024-01-09,PRD-A02,119.99,2,114.99,215.98
2024-01-09,PRD-A03,44.99,7,47.99,305.93
2024-01-09,PRD-A04,94.99,0,98.0,0.0
2024-01-09,PRD-H01,49.99,4,54.99,187.46
2024-01-09,PRD-H02,159.99,5,149.99,791.95
2024-01-09,PRD-H03,299.99,2,284.99,599.98
2024-01-09,PRD-H04,129.99,5,124.99,643.45
2024-01-09,PRD-B01,38.0,9,42.0,330.6
2024-01-09,PRD-B02,54.0,16,58.0,742.5
2024-01-09,PRD-B03,39.99,11,37.99,439.89
2024-01-09,PRD-B04,89.99,5,84.99,449.95
2024-01-09,PRD-S01,199.99,9,189.99,1719.91
2024-01-09,PRD-S02,29.99,12,32.99,359.88
2024-01-09,PRD-S03,149.99,2,139.99,299.98
2024-01-09,PRD-S04,49.99,0,47.99,0.0
2024-01-10,PRD-E01,149.99,1,144.99,149.99
2024-01-10,PRD-E02,199.99,8,194.99,1519.92
2024-01-10,PRD-E03,249.99,3,239.0,724.97
2024-01-10,PRD-E04,59.99,19,54.99,1124.81
2024-01-10,PRD-A01,64.99,8,62.0,497.17
2024-01-10,PRD-A02,119.99,1,114.99,119.99
2024-01-10,PRD-A03,44.99,18,47.99,805.32
2024-01-10,PRD-A04,94.99,8,98.0,759.92
2024-01-10,PRD-H01,49.99,6,54.99,292.44
2024-01-10,PRD-H02,159.99,5,149.99,799.95
2024-01-10,PRD-H03,299.99,1,284.99,299.99
2024-01-10,PRD-H04,129.99,2,124.99,259.98
2024-01-10,PRD-B01,38.0,10,42.0,380.0
2024-01-10,PRD-B02,54.0,8,58.0,426.6
2024-01-10,PRD-B03,39.99,8,37.99,319.92
2024-01-10,PRD-B04,89.99,2,84.99,179.98
2024-01-10,PRD-S01,199.99,7,189.99,1399.93
2024-01-10,PRD-S02,29.99,21,32.99,626.79
2024-01-10,PRD-S03,149.99,0,139.99,0.0
2024-01-10,PRD-S04,49.99,2,47.99,89.98
2024-01-11,PRD-E01,149.99,3,144.99,449.97
2024-01-11,PRD-E02,199.99,3,194.99,589.97
2024-01-11,PRD-E03,249.99,0,239.0,0.0
2024-01-11,PRD-E04,59.99,1,54.99,59.99
2024-01-11,PRD-A01,64.99,13,62.0,844.87
2024-01-11,PRD-A02,119.99,3,114.99,353.97
2024-01-11,PRD-A03,44.99,16,47.99,708.59
2024-01-11,PRD-A04,94.99,5,98.0,474.95
2024-01-11,PRD-H01,49.99,5,54.99,247.45
2024-01-11,PRD-H02,159.99,3,149.99,479.97
2024-01-11,PRD-H03,299.99,4,284.99,1199.96
2024-01-11,PRD-H04,129.99,0,124.99,0.0
2024-01-11,PRD-B01,38.0,16,42.0,600.4
2024-01-11,PRD-B02,54.0,2,58.0,102.6
2024-01-11,PRD-B03,39.99,17,37.99,675.83
2024-01-11,PRD-B04,89.99,2,84.99,170.98
2024-01-11,PRD-S01,199.99,16,189.99,3179.84
2024-01-11,PRD-S02,29.99,8,32.99,236.92
2024-01-11,PRD-S03,149.99,0,139.99,0.0
2024-01-11,PRD-S04,49.99,0,47.99,0.0
2024-01-12,PRD-E01,149.99,5,144.99,742.45
2024-01-12,PRD-E02,199.99,8,194.99,1559.92
2024-01-12,PRD-E03,249.99,1,239.0,249.99
2024-01-12,PRD-E04,59.99,4,54.99,227.96
2024-01-12,PRD-A01,64.99,13,62.0,831.87
2024-01-12,PRD-A02,119.99,11,114.99,1301.89
2024-01-12,PRD-A03,44.99,18,47.99,803.07
2024-01-12,PRD-A04,94.99,1,98.0,94.99
2024-01-12,PRD-H01,49.99,11,54.99,522.39
2024-01-12,PRD-H02,159.99,5,149.99,727.95
2024-01-12,PRD-H03,299.99,0,284.99,0.0
2024-01-12,PRD-H04,129.99,2,124.99,259.98
2024-01-12,PRD-B01,38.0,8,42.0,302.1
2024-01-12,PRD-B02,54.0,6,58.0,315.9
2024-01-12,PRD-B03,39.99,9,37.99,351.91
2024-01-12,PRD-B04,89.99,4,84.99,341.96
2024-01-12,PRD-S01,199.99,7,189.99,1399.93
2024-01-12,PRD-S02,29.99,20,32.99,590.8
2024-01-12,PRD-S03,149.99,3,139.99,449.97
2024-01-12,PRD-S04,49.99,1,47.99,49.99
2024-01-13,PRD-E01,149.99,12,144.99,1799.88
2024-01-13,PRD-E02,199.99,7,194.99,1299.93
2024-01-13,PRD-E03,249.99,2,239.0,499.98
2024-01-13,PRD-E04,59.99,7,54.99,413.93
2024-01-13,PRD-A01,64.99,15,62.0,968.35
2024-01-13,PRD-A02,119.99,4,114.99,467.96
2024-01-13,PRD-A03,44.99,23,47.99,1025.77
2024-01-13,PRD-A04,94.99,8,98.0,745.67
2024-01-13,PRD-H01,49.99,10,54.99,494.9
2024-01-13,PRD-H02,159.99,3,149.99,479.97
2024-01-13,PRD-H03,299.99,5,284.99,1499.95
2024-01-13,PRD-H04,129.99,2,124.99,246.98
2024-01-13,PRD-B01,38.0,20,42.0,739.1
2024-01-13,PRD-B02,54.0,8,58.0,432.0
2024-01-13,PRD-B03,39.99,13,37.99,507.87
2024-01-13,PRD-B04,89.99,4,84.99,359.96
2024-01-13,PRD-S01,199.99,7,189.99,1389.93
2024-01-13,PRD-S02,29.99,23,32.99,664.27
2024-01-13,PRD-S03,149.99,5,139.99,749.95
2024-01-13,PRD-S04,49.99,6,47.99,292.44
2024-01-14,PRD-E01,149.99,16,144.99,2294.84
2024-01-14,PRD-E02,199.99,16,194.99,3189.84
2024-01-14,PRD-E03,249.99,2,239.0,499.98
2024-01-14,PRD-E04,59.99,11,54.99,659.89
2024-01-14,PRD-A01,64.99,29,62.0,1793.71
2024-01-14,PRD-A02,119.99,6,114.99,707.94
2024-01-14,PRD-A03,44.99,6,47.99,267.69
2024-01-14,PRD-A04,94.99,7,98.0,660.18
2024-01-14,PRD-H01,49.99,5,54.99,249.95
2024-01-14,PRD-H02,159.99,3,149.99,431.97
2024-01-14,PRD-H03,299.99,1,284.99,299.99
2024-01-14,PRD-H04,129.99,5,124.99,649.95
2024-01-14,PRD-B01,38.0,12,42.0,452.2
2024-01-14,PRD-B02,54.0,11,58.0,594.0
2024-01-14,PRD-B03,39.99,11,37.99,435.89
2024-01-14,PRD-B04,89.99,3,84.99,269.97
2024-01-14,PRD-S01,199.99,13,189.99,2579.87
2024-01-14,PRD-S02,29.99,23,32.99,671.77
2024-01-14,PRD-S03,149.99,5,139.99,734.95
2024-01-14,PRD-S04,49.99,2,47.99,99.98
2024-01-15,PRD-E01,149.99,8,144.99,1192.42
2024-01-15,PRD-E02,207.99,15,194.99,3005.45
2024-01-15,PRD-E03,229.99,5,239.0,1126.95
2024-01-15,PRD-E04,55.19,10,54.99,546.38
2024-01-15,PRD-A01,67.59,9,62.0,608.31
2024-01-15,PRD-A02,119.99,1,114.99,119.99
2024-01-15,PRD-A03,44.99,23,47.99,1021.27
2024-01-15,PRD-A04,94.99,20,98.0,1876.05
2024-01-15,PRD-H01,49.99,13,54.99,649.87
2024-01-15,PRD-H02,151.99,10,149.99,1512.3
2024-01-15,PRD-H03,284.99,8,284.99,2279.92
2024-01-15,PRD-H04,129.99,4,124.99,480.96
2024-01-15,PRD-B01,36.1,8,42.0,287.0
2024-01-15,PRD-B02,47.52,7,58.0,316.0
2024-01-15,PRD-B03,36.79,16,37.99,586.8
2024-01-15,PRD-B04,89.99,1,84.99,85.49
2024-01-15,PRD-S01,207.99,2,189.99,415.98
2024-01-15,PRD-S02,31.19,7,32.99,216.77
2024-01-15,PRD-S03,149.99,1,139.99,149.99
2024-01-15,PRD-S04,49.99,5,47.99,249.95
2024-01-16,PRD-E01,149.99,9,144.99,1349.91
2024-01-16,PRD-E02,207.99,8,194.99,1663.92
2024-01-16,PRD-E03,229.99,1,239.0,229.99
2024-01-16,PRD-E04,55.19,2,54.99,110.38
2024-01-16,PRD-A01,67.59,7,62.0,469.75
2024-01-16,PRD-A02,119.99,3,114.99,359.97
2024-01-16,PRD-A03,44.99,7,47.99,305.93
2024-01-16,PRD-A04,94.99,1,98.0,94.99
2024-01-16,PRD-H01,49.99,6,54.99,299.94
2024-01-16,PRD-H02,151.99,3,149.99,455.97
2024-01-16,PRD-H03,284.99,2,284.99,569.98
2024-01-16,PRD-H04,129.99,1,124.99,129.99
2024-01-16,PRD-B01,36.1,6,42.0,209.39
2024-01-16,PRD-B02,47.52,23,58.0,1031.17
2024-01-16,PRD-B03,36.79,9,37.99,331.11
2024-01-16,PRD-B04,89.99,2,84.99,179.98
2024-01-16,PRD-S01,207.99,11,189.99,2225.49
2024-01-16,PRD-S02,31.19,20,32.99,614.44
2024-01-16,PRD-S03,149.99,0,139.99,0.0
2024-01-16,PRD-S04,49.99,6,47.99,287.44
2024-01-17,PRD-E01,149.99,14,144.99,2024.86
2024-01-17,PRD-E02,207.99,13,194.99,2693.47
2024-01-17,PRD-E03,229.99,1,239.0,229.99
2024-01-17,PRD-E04,55.19,6,54.99,331.14
2024-01-17,PRD-A01,67.59,8,62.0,540.72
2024-01-17,PRD-A02,119.99,2,114.99,239.98
2024-01-17,PRD-A03,44.99,10,47.99,445.4
2024-01-17,PRD-A04,94.99,6,98.0,527.19
2024-01-17,PRD-H01,49.99,7,54.99,349.93
2024-01-17,PRD-H02,151.99,5,149.99,759.95
2024-01-17,PRD-H03,284.99,0,284.99,0.0
2024-01-17,PRD-H04,129.99,6,124.99,779.94
2024-01-17,PRD-B01,36.1,19,42.0,680.49
2024-01-17,PRD-B02,47.52,9,58.0,427.68
2024-01-17,PRD-B03,36.79,11,37.99,404.69
2024-01-17,PRD-B04,89.99,1,84.99,89.99
2024-01-17,PRD-S01,207.99,17,189.99,3515.03
2024-01-17,PRD-S02,31.19,8,32.99,249.52
2024-01-17,PRD-S03,149.99,2,139.99,299.98
2024-01-17,PRD-S04,49.99,3,47.99,149.97
2024-01-18,PRD-E01,149.99,1,144.99,149.99
2024-01-18,PRD-E02,207.99,1,194.99,187.19
2024-01-18,PRD-E03,229.99,0,239.0,0.0
2024-01-18,PRD-E04,55.19,9,54.99,480.15
2024-01-18,PRD-A01,67.59,12,62.0,811.08
2024-01-18,PRD-A02,119.99,4,114.99,479.96
2024-01-18,PRD-A03,44.99,18,47.99,809.82
2024-01-18,PRD-A04,94.99,4,98.0,370.46
2024-01-18,PRD-H01,49.99,10,54.99,499.9
2024-01-18,PRD-H02,151.99,6,149.99,896.74
2024-01-18,PRD-H03,284.99,5,284.99,1367.95
2024-01-18,PRD-H04,129.99,4,124.99,467.96
2024-01-18,PRD-B01,36.1,7,42.0,250.9
2024-01-18,PRD-B02,47.52,10,58.0,470.45
2024-01-18,PRD-B03,36.79,4,37.99,143.48
2024-01-18,PRD-B04,89.99,4,84.99,359.96
2024-01-18,PRD-S01,207.99,3,189.99,551.17
2024-01-18,PRD-S02,31.19,19,32.99,572.33
2024-01-18,PRD-S03,149.99,6,139.99,869.94
2024-01-18,PRD-S04,49.99,16,47.99,734.84
2024-01-19,PRD-E01,149.99,9,144.99,1304.91
2024-01-19,PRD-E02,207.99,8,194.99,1632.72
2024-01-19,PRD-E03,229.99,2,239.0,459.98
2024-01-19,PRD-E04,55.19,11,54.99,607.09
2024-01-19,PRD-A01,67.59,12,62.0,794.18
2024-01-19,PRD-A02,119.99,5,114.99,599.95
2024-01-19,PRD-A03,44.99,19,47.99,832.31
2024-01-19,PRD-A04,94.99,3,98.0,280.22
2024-01-19,PRD-H01,49.99,19,54.99,924.81
2024-01-19,PRD-H02,151.99,4,149.99,607.96
2024-01-19,PRD-H03,284.99,3,284.99,812.22
2024-01-19,PRD-H04,129.99,3,124.99,389.97
2024-01-19,PRD-B01,36.1,16,42.0,563.16
2024-01-19,PRD-B02,47.52,7,58.0,332.64
2024-01-19,PRD-B03,36.79,10,37.99,358.7
2024-01-19,PRD-B04,89.99,6,84.99,539.94
2024-01-19,PRD-S01,207.99,4,189.99,811.16
2024-01-19,PRD-S02,31.19,20,32.99,614.44
2024-01-19,PRD-S03,149.99,2,139.99,299.98
2024-01-19,PRD-S04,49.99,3,47.99,149.97
2024-01-20,PRD-E01,149.99,10,144.99,1417.4
2024-01-20,PRD-E02,207.99,11,194.99,2267.09
2024-01-20,PRD-E03,229.99,9,239.0,2035.41
2024-01-20,PRD-E04,55.19,13,54.99,703.67
2024-01-20,PRD-A01,67.59,21,62.0,1409.25
2024-01-20,PRD-A02,119.99,1,114.99,113.99
2024-01-20,PRD-A03,44.99,14,47.99,609.61
2024-01-20,PRD-A04,94.99,4,98.0,375.21
2024-01-20,PRD-H01,49.99,7,54.99,347.43
2024-01-20,PRD-H02,151.99,6,149.99,866.34
2024-01-20,PRD-H03,284.99,3,284.99,797.97
2024-01-20,PRD-H04,129.99,3,124.99,389.97
2024-01-20,PRD-B01,36.1,6,42.0,216.6
2024-01-20,PRD-B02,47.52,17,58.0,800.71
2024-01-20,PRD-B03,36.79,13,37.99,472.75
2024-01-20,PRD-B04,89.99,2,84.99,170.98
2024-01-20,PRD-S01,207.99,10,189.99,2048.7
2024-01-20,PRD-S02,31.19,22,32.99,679.94
2024-01-20,PRD-S03,149.99,1,139.99,149.99
2024-01-20,PRD-S04,49.99,3,47.99,149.97
2024-01-21,PRD-E01,149.99,6,144.99,884.94
2024-01-21,PRD-E02,207.99,6,194.99,1247.94
2024-01-21,PRD-E03,229.99,10,239.0,2184.9
2024-01-21,PRD-E04,55.19,9,54.99,485.67
2024-01-21,PRD-A01,67.59,6,62.0,405.54
2024-01-21,PRD-A02,119.99,14,114.99,1649.86
2024-01-21,PRD-A03,44.99,13,47.99,575.87
2024-01-21,PRD-A04,94.99,2,98.0,180.48
2024-01-21,PRD-H01,49.99,2,54.99,99.98
2024-01-21,PRD-H02,151.99,3,149.99,448.37
2024-01-21,PRD-H03,284.99,3,284.99,854.97
2024-01-21,PRD-H04,129.99,6,124.99,779.94
2024-01-21,PRD-B01,36.1,12,42.0,431.4
2024-01-21,PRD-B02,47.52,10,58.0,475.2
2024-01-21,PRD-B03,36.79,20,37.99,710.04
2024-01-21,PRD-B04,89.99,2,84.99,179.98
2024-01-21,PRD-S01,207.99,16,189.99,3296.64
2024-01-21,PRD-S02,31.19,23,32.99,706.45
2024-01-21,PRD-S03,149.99,1,139.99,149.99
2024-01-21,PRD-S04,49.99,11,47.99,542.39
2024-01-22,PRD-E01,149.99,8,130.49,1199.92
2024-01-22,PRD-E02,207.99,5,185.24,1019.15
2024-01-22,PRD-E03,229.99,4,250.95,919.96
2024-01-22,PRD-E04,55.19,11,52.24,601.57
2024-01-22,PRD-A01,67.59,9,58.9,608.31
2024-01-22,PRD-A02,119.99,1,120.74,119.99
2024-01-22,PRD-A03,44.99,12,47.99,539.88
2024-01-22,PRD-A04,94.99,4,98.0,370.46
2024-01-22,PRD-H01,49.99,1,57.74,44.99
2024-01-22,PRD-H02,151.99,7,157.49,1003.13
2024-01-22,PRD-H03,284.99,3,299.24,854.97
2024-01-22,PRD-H04,129.99,5,118.74,649.95
2024-01-22,PRD-B01,36.1,14,37.8,498.18
2024-01-22,PRD-B02,47.52,3,62.64,142.56
2024-01-22,PRD-B03,36.79,10,36.09,364.22
2024-01-22,PRD-B04,89.99,12,91.79,1079.88
2024-01-22,PRD-S01,207.99,2,170.99,415.98
2024-01-22,PRD-S02,31.19,17,32.99,516.19
2024-01-22,PRD-S03,149.99,3,139.99,449.97
2024-01-22,PRD-S04,49.99,3,47.99,137.47
2024-01-23,PRD-E01,149.99,13,130.49,1949.87
2024-01-23,PRD-E02,207.99,11,185.24,2183.89
2024-01-23,PRD-E03,229.99,0,250.95,0.0
2024-01-23,PRD-E04,55.19,11,52.24,607.09
2024-01-23,PRD-A01,67.59,8,58.9,537.34
2024-01-23,PRD-A02,119.99,4,120.74,479.96
2024-01-23,PRD-A03,44.99,8,47.99,355.42
2024-01-23,PRD-A04,94.99,5,98.0,474.95
2024-01-23,PRD-H01,49.99,7,57.74,349.93
2024-01-23,PRD-H02,151.99,6,157.49,911.94
2024-01-23,PRD-H03,284.99,2,299.24,569.98
2024-01-23,PRD-H04,129.99,4,118.74,519.96
2024-01-23,PRD-B01,36.1,11,37.8,380.85
2024-01-23,PRD-B02,47.52,19,62.64,883.88
2024-01-23,PRD-B03,36.79,10,36.09,360.54
2024-01-23,PRD-B04,89.99,17,91.79,1525.33
2024-01-23,PRD-S01,207.99,0,170.99,0.0
2024-01-23,PRD-S02,31.19,34,32.99,1037.06
2024-01-23,PRD-S03,149.99,1,139.99,149.99
2024-01-23,PRD-S04,49.99,5,47.99,244.95
2024-01-24,PRD-E01,149.99,3,130.49,434.97
2024-01-24,PRD-E02,207.99,10,185.24,2079.9
2024-01-24,PRD-E03,229.99,9,250.95,2069.91
2024-01-24,PRD-E04,55.19,8,52.24,405.64
2024-01-24,PRD-A01,67.59,8,58.9,540.72
2024-01-24,PRD-A02,119.99,6,120.74,707.94
2024-01-24,PRD-A03,44.99,18,47.99,807.57
2024-01-24,PRD-A04,94.99,6,98.0,569.94
2024-01-24,PRD-H01,49.99,11,57.74,544.89
2024-01-24,PRD-H02,151.99,3,157.49,455.97
2024-01-24,PRD-H03,284.99,0,299.24,0.0
2024-01-24,PRD-H04,129.99,4,118.74,519.96
2024-01-24,PRD-B01,36.1,12,37.8,407.94
2024-01-24,PRD-B02,47.52,3,62.64,142.56
2024-01-24,PRD-B03,36.79,12,36.09,435.96
2024-01-24,PRD-B04,89.99,1,91.79,89.99
2024-01-24,PRD-S01,207.99,15,170.99,3047.05
2024-01-24,PRD-S02,31.19,16,32.99,495.92
2024-01-24,PRD-S03,149.99,7,139.99,1049.93
2024-01-24,PRD-S04,49.99,14,47.99,674.86
2024-01-25,PRD-E01,149.99,6,130.49,899.94
2024-01-25,PRD-E02,207.99,13,185.24,2558.27
2024-01-25,PRD-E03,229.99,11,250.95,2529.89
2024-01-25,PRD-E04,55.19,3,52.24,165.57
2024-01-25,PRD-A01,67.59,6,58.9,405.54
2024-01-25,PRD-A02,119.99,2,120.74,239.98
2024-01-25,PRD-A03,44.99,10,47.99,445.4
2024-01-25,PRD-A04,94.99,2,98.0,189.98
2024-01-25,PRD-H01,49.99,8,57.74,399.92
2024-01-25,PRD-H02,151.99,7,157.49,1048.73
2024-01-25,PRD-H03,284.99,2,299.24,541.48
2024-01-25,PRD-H04,129.99,4,118.74,480.96
2024-01-25,PRD-B01,36.1,3,37.8,104.69
2024-01-25,PRD-B02,47.52,12,62.64,560.73
2024-01-25,PRD-B03,36.79,15,36.09,551.85
